Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
2012019;220;A;USD;3,8589;3,8595;1;1
3012019;220;A;USD;3,7677;3,7683;1;1
4012019;220;A;USD;3,7621;3,7627;1;1
7012019;220;A;USD;3,7056;3,7062;1;1
8012019;220;A;USD;3,7202;3,7208;1;1
9012019;220;A;USD;3,6925;3,6931;1;1
10012019;220;A;USD;3,6863;3,6869;1;1
11012019;220;A;USD;3,7135;3,7141;1;1
14012019;220;A;USD;3,7255;3,726;1;1
15012019;220;A;USD;3,7043;3,7049;1;1
16012019;220;A;USD;3,7191;3,7197;1;1
17012019;220;A;USD;3,7585;3,7591;1;1
18012019;220;A;USD;3,748;3,7486;1;1
21012019;220;A;USD;3,7699;3,7705;1;1
22012019;220;A;USD;3,7609;3,7615;1;1
23012019;220;A;USD;3,7988;3,7994;1;1
24012019;220;A;USD;3,7809;3,7815;1;1
25012019;220;A;USD;3,7613;3,7626;1;1
28012019;220;A;USD;3,767;3,7676;1;1
29012019;220;A;USD;3,7364;3,737;1;1
30012019;220;A;USD;3,7145;3,7151;1;1
31012019;220;A;USD;3,6513;3,6519;1;1
1022019;220;A;USD;3,6688;3,6694;1;1
4022019;220;A;USD;3,675;3,6756;1;1
5022019;220;A;USD;3,6735;3,6741;1;1
6022019;220;A;USD;3,7013;3,7019;1;1
7022019;220;A;USD;3,7187;3,7193;1;1
8022019;220;A;USD;3,7178;3,7184;1;1
11022019;220;A;USD;3,7385;3,7391;1;1
12022019;220;A;USD;3,729;3,7296;1;1
13022019;220;A;USD;3,7271;3,7277;1;1
14022019;220;A;USD;3,775;3,7756;1;1
15022019;220;A;USD;3,7149;3,7155;1;1
18022019;220;A;USD;3,731;3,7316;1;1
19022019;220;A;USD;3,72;3,7206;1;1
20022019;220;A;USD;3,7094;3,71;1;1
21022019;220;A;USD;3,7589;3,7595;1;1
22022019;220;A;USD;3,7424;3,743;1;1
25022019;220;A;USD;3,7279;3,7285;1;1
26022019;220;A;USD;3,7589;3,7595;1;1
27022019;220;A;USD;3,7345;3,7351;1;1
28022019;220;A;USD;3,7379;3,7385;1;1
1032019;220;A;USD;3,7826;3,7832;1;1
6032019;220;A;USD;3,8297;3,8303;1;1
7032019;220;A;USD;3,8481;3,8487;1;1
8032019;220;A;USD;3,8672;3,8678;1;1
11032019;220;A;USD;3,8455;3,8461;1;1
12032019;220;A;USD;3,8123;3,8129;1;1
13032019;220;A;USD;3,8259;3,8265;1;1
14032019;220;A;USD;3,8321;3,8327;1;1
15032019;220;A;USD;3,8338;3,8344;1;1
18032019;220;A;USD;3,8105;3,8111;1;1
19032019;220;A;USD;3,7756;3,7762;1;1
20032019;220;A;USD;3,7891;3,7897;1;1
21032019;220;A;USD;3,7961;3,7967;1;1
22032019;220;A;USD;3,8809;3,8815;1;1
25032019;220;A;USD;3,8764;3,877;1;1
26032019;220;A;USD;3,864;3,8646;1;1
27032019;220;A;USD;3,9383;3,9389;1;1
28032019;220;A;USD;3,9676;3,9682;1;1
29032019;220;A;USD;3,8961;3,8967;1;1
1042019;220;A;USD;3,8676;3,8682;1;1
2042019;220;A;USD;3,8655;3,8661;1;1
3042019;220;A;USD;3,843;3,8436;1;1
4042019;220;A;USD;3,8707;3,8713;1;1
5042019;220;A;USD;3,8616;3,8622;1;1
8042019;220;A;USD;3,8652;3,8658;1;1
9042019;220;A;USD;3,8557;3,8563;1;1
10042019;220;A;USD;3,8339;3,8345;1;1
11042019;220;A;USD;3,8393;3,8399;1;1
12042019;220;A;USD;3,8679;3,8685;1;1
15042019;220;A;USD;3,8724;3,873;1;1
16042019;220;A;USD;3,8907;3,8913;1;1
17042019;220;A;USD;3,9219;3,9225;1;1
18042019;220;A;USD;3,9364;3,937;1;1
22042019;220;A;USD;3,9224;3,923;1;1
23042019;220;A;USD;3,943;3,9436;1;1
24042019;220;A;USD;3,9624;3,963;1;1
25042019;220;A;USD;3,9719;3,9725;1;1
26042019;220;A;USD;3,9347;3,9353;1;1
29042019;220;A;USD;3,9358;3,9364;1;1
30042019;220;A;USD;3,9447;3,9453;1;1
2052019;220;A;USD;3,9644;3,965;1;1
3052019;220;A;USD;3,9382;3,9388;1;1
6052019;220;A;USD;3,9618;3,9624;1;1
7052019;220;A;USD;3,9874;3,988;1;1
8052019;220;A;USD;3,9338;3,9344;1;1
9052019;220;A;USD;3,9667;3,9673;1;1
10052019;220;A;USD;3,9572;3,9578;1;1
13052019;220;A;USD;3,9884;3,989;1;1
14052019;220;A;USD;3,9782;3,9788;1;1
15052019;220;A;USD;4,0025;4,0031;1;1
16052019;220;A;USD;4,0132;4,0138;1;1
17052019;220;A;USD;4,0838;4,0844;1;1
20052019;220;A;USD;4,105;4,1056;1;1
21052019;220;A;USD;4,0804;4,081;1;1
22052019;220;A;USD;4,0222;4,0228;1;1
23052019;220;A;USD;4,0507;4,0513;1;1
24052019;220;A;USD;4,0316;4,0322;1;1
27052019;220;A;USD;4,0204;4,021;1;1
28052019;220;A;USD;4,0269;4,0275;1;1
29052019;220;A;USD;3,9959;3,9965;1;1
30052019;220;A;USD;3,9714;3,972;1;1
31052019;220;A;USD;3,9401;3,9407;1;1
3062019;220;A;USD;3,8997;3,9003;1;1
4062019;220;A;USD;3,8704;3,871;1;1
5062019;220;A;USD;3,8605;3,8611;1;1
6062019;220;A;USD;3,872;3,8726;1;1
7062019;220;A;USD;3,8565;3,8571;1;1
10062019;220;A;USD;3,8784;3,879;1;1
11062019;220;A;USD;3,8658;3,8664;1;1
12062019;220;A;USD;3,8431;3,8437;1;1
13062019;220;A;USD;3,8423;3,8429;1;1
14062019;220;A;USD;3,8807;3,8813;1;1
17062019;220;A;USD;3,8889;3,8895;1;1
18062019;220;A;USD;3,8602;3,8608;1;1
19062019;220;A;USD;3,8717;3,8723;1;1
21062019;220;A;USD;3,8249;3,8255;1;1
24062019;220;A;USD;3,8228;3,8234;1;1
25062019;220;A;USD;3,8297;3,8303;1;1
26062019;220;A;USD;3,8435;3,8441;1;1
27062019;220;A;USD;3,8636;3,8642;1;1
28062019;220;A;USD;3,8316;3,8322;1;1
